UniprotID,Length,Molecular_Weight (kDa),num_theoretical_peptides,num_unique
P20930,4061,435.1680399999999,211,137
P15924,2871,331.7711600000001,162,162
Q86YZ3,2850,282.39018500000003,85,55
Q5D862,2391,248.07328999999996,69,66
Q87022,1505,170.47818,67,67
Q02413,1049,113.74670000000002,39,39
Q14574,896,99.96809499999999,47,47
Q08554,894,99.98605499999998,48,48
P22735,817,89.78613999999997,47,47
P01833,764,83.282895,41,41
Q13835,747,82.85978999999999,46,46
P14923,745,81.74397999999997,44,44
Q08188,693,76.63125999999997,40,40
P32503,680,75.993715,26,26
P04264,644,66.03850499999999,31,31
P35908,639,65.43265,39,39
Q01546,638,65.84036499999999,36,36
P12035,628,64.416675,32,32
P35527,623,62.06429000000001,26,26
P02768,609,69.36594000000001,36,36
P02769,607,69.29267,40,40
Q9NSB2,600,64.84181499999998,37,37
P13647,590,62.377985000000024,31,31
P07476,585,68.47889000000004,33,32
P13645,584,58.826914999999985,26,26
Q5T749,579,64.13518,17,17
Q7Z794,578,61.90114500000001,31,31
P48668,564,60.024505,30,30
P04259,564,60.066514999999995,30,30
P02538,564,60.044524999999986,30,30
A7E3W2,555,62.126270000000005,22,22
O95678,551,59.55990000000001,29,29
Q86Y46,540,58.92277499999999,29,29
Q5XKE5,535,57.835249999999995,28,28
P19013,534,57.28487500000001,27,27
Q7RTS7,529,57.86482000000001,29,29
P09870,526,59.73304499999998,27,27
Q2M2I5,525,55.08695999999999,29,29
Q3SY84,523,57.29098,29,29
Q8N1N4,520,56.865375,29,29
Q9NSB4,513,56.652159999999995,32,32
Q14CN4,511,55.87674,33,33
P04745,511,57.76749,25,25
P78386,507,55.801500000000004,33,33
Q14533,505,54.92772000000001,27,27
Q99456,494,53.510934999999996,25,25
P78385,493,54.194880000000005,28,28
Q6A163,491,55.65054000000001,30,30
O43790,486,53.500085,31,31
P05787,483,53.70376000000001,29,29
P08779,473,51.26739,31,31
P02533,472,51.561074999999995,30,30
P08729,469,51.38510999999999,29,29
Q7Z3Y9,468,51.91022499999999,23,23
O76013,467,52.246550000000006,28,28
Q7Z3Y7,464,50.566984999999995,26,26
Q9HWK6,462,48.212385,17,17
Q7Z3Y8,459,49.82193999999999,25,25
P13646,458,49.587835000000005,28,28
P19012,456,49.21137499999999,30,30
O76015,456,50.479404999999986,21,21
Q92764,455,50.36007000000001,29,29
Q6KB66,452,50.52484500000001,31,31
Q7Z3Z0,450,49.317505000000004,23,23
O76014,449,49.74661999999999,21,21
Q14532,448,50.342485,24,24
Q96QA5,445,49.36447999999998,24,24
O76011,436,49.423085,23,23
Q04695,432,48.10526499999999,29,29
Q6A162,431,48.138310000000004,17,17
P05783,430,48.05735499999999,24,24
P35900,424,48.48631499999999,28,28
Q9C075,422,48.130815,27,27
Q15323,416,47.23651499999999,26,26
P07339,412,44.55184499999999,19,19
Q96P63,405,46.276019999999995,20,20
Q14525,404,46.21318499999999,27,27
O76009,404,45.939845000000005,28,28
P08727,400,44.105595,31,31
P48594,390,44.85365500000001,21,21
P29508,390,44.564315,22,22
P00791,385,41.261649999999996,3,3
P00792,372,40.003085,3,3
P12763,359,38.41841999999998,14,14
A6NMY6,339,38.65863,22,22
P0C1U8,336,36.325534999999995,13,13
P05089,322,34.73465499999999,16,16
Q7M135,269,27.960370000000008,9,9
Q7M3E1,268,29.254894999999994,10,10
Q29463,247,26.289490000000004,6,6
P00760,246,25.785025,11,11
P00766,245,25.66593,8,8
P00767,245,25.755129999999998,7,7
P31944,242,27.679305,15,15
P04517,236,26.807335,11,11
