UniprotID,Length,Molecular_Weight (kDa),num_theoretical_peptides,num_unique
Q8WZ42-12,35991,3994.59457,1915,1861
Q8WZ42-13,34484,3831.039345,1834,1814
Q8WZ42-8,34475,3829.81633,1833,1813
Q8WZ42,34350,3816.000775,1827,1807
Q8WZ42-2,34258,3805.678935,1822,1802
Q8WZ42-7,33615,3734.61942,1788,1768
Q8WZ42-4,33445,3715.99904,1783,1763
Q8WZ42-11,33423,3713.57132,1782,1762
Q8WZ42-5,32900,3653.056315,1776,1760
Q8WZ42-9,27118,3013.933925,1473,1461
Q8WZ42-10,27051,3006.73141,1473,1461
Q8WZ42-3,26926,2992.915855,1467,1455
Q8WXI7,22152,2352.668265,713,460
Q8NF91,8797,1011.07805,487,487
Q8NF91-4,8749,1005.23146,484,484
Q5VST9-6,8483,924.9632,381,361
Q5VST9-2,7969,868.5633,355,346
Q5VST9,7968,868.476225,355,346
Q03001,7570,860.654855,429,429
Q9UPN3,7388,838.301105,424,424
Q5CZC0,6907,780.60005,349,349
Q8WXH0-2,6907,798.85593,393,393
Q8WXH0,6885,796.43619,393,393
P20929,6669,772.92201,434,390
Q5VST9-3,6620,721.540975,303,294
Q8WXG9,6306,693.063065,225,225
Q7Z5P9,6254,598.140065,151,146
Q9UPN3-5,5938,670.131605,326,326
Q7Z5P9-2,5936,564.069185,136,131
Q09666,5890,629.098075,376,253
Q8IVF2,5795,616.62467,303,215
Q9HC84,5762,596.334475,153,126
Q8IVF2-3,5695,605.64384,302,214
Q96RW7,5635,613.38467,257,257
Q8WZ42-6,5604,631.562585,274,270
Q9NU22,5596,632.814475,280,280
Q8NF91-7,5580,642.666825,319,319
O14686-3,5540,593.671895,191,191
O14686,5537,593.38462,191,191
Q96RW7-2,5518,600.092095,250,250
Q9UKN1,5478,558.157605,93,53
Q9UPN3-2,5430,620.413695,314,314
Q9Y6R7,5405,572.01242,173,116
Q9UPN3-3,5374,614.148165,314,314
Q9UPN3-4,5300,606.158965,306,306
Q63HN8-4,5256,596.480505,273,273
O75445-3,5226,578.270765,212,212
Q63HN8,5207,591.40204,273,273
Q5T4S7-2,5204,575.952625,238,238
O75445,5202,575.595875,212,212
Q5T4S7,5183,573.83526,237,237
Q02817,5179,540.29638,89,89
Q5T4S7-4,5176,573.600435,238,238
Q03001-8,5171,591.03153,298,298
Q5T4S7-3,5159,571.84622,237,237
A2VEC9,5147,547.49899,141,141
Q9Y6V0-5,5142,560.694755,250,249
Q4G0P3,5121,575.88752,215,215
P58107,5090,555.615875,268,142
Q9Y6V0,5065,553.27208,244,244
Q8NDA2,5065,542.5996,216,216
Q86UQ4,5058,576.153855,243,243
P21817,5038,565.170715,241,241
P21817-3,5033,564.54503,241,241
P21817-2,5033,564.68621,241,241
P98088,5030,526.603025,181,137
Q2LD37,5005,555.47712,228,228
Q2LD37-4,5004,555.348985,228,228
Q6V0I7,4981,542.68183,185,185
Q6V0I7-3,4980,542.610755,185,185
Q92736-2,4975,565.40665,265,265
Q8NEZ4-3,4968,547.628765,192,192
Q92736,4967,564.56271,264,264
